ITEM_NO,COMPANY,Station_Series_ID,DynamicStartFt,DynamicEndFt,TestStartDateTime
2593,Great Lakes Gas Transmission,105400,314515.9979,370928,1968-10-03 01:00:00
2594,Great Lakes Gas Transmission,105400,370928,396338,1968-10-01 02:55:00
2595,Great Lakes Gas Transmission,105400,396338,396557.001,1968-10-05 09:20:00
2595,Great Lakes Gas Transmission,106000,0,879,1968-10-05 09:20:00
2596,Great Lakes Gas Transmission,106000,879,37898,1968-10-19 09:20:00
2597,Great Lakes Gas Transmission,106000,37898,51434,1968-10-20 09:30:00
2598,Great Lakes Gas Transmission,106000,51434,56098,1968-10-21 19:15:00
2599,Great Lakes Gas Transmission,106000,56098,62752.98238,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106000,62752.98238,66530.28225,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106000,66530.28225,66649.79013,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106000,66649.79013,67728.59262,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106000,67728.59262,88999.09462,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106000,88999.09462,90711.25998,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106000,90711.25998,93213.2941,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106000,93213.2941,95276.998,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106100,95276.99818,96021.71931,1968-10-24 22:42:00
2599,Great Lakes Gas Transmission,106100,96021.71931,163256,1968-10-24 22:42:00
2600,Great Lakes Gas Transmission,106100,163256,185704.997,1968-08-23 20:35:00
2600,Great Lakes Gas Transmission,106200,191415.8271,194660.5055,1968-08-23 20:35:00
2600,Great Lakes Gas Transmission,106200,185704.997,191415.8271,1968-08-23 20:35:00
2600,Great Lakes Gas Transmission,106200,194660.5055,223381,1968-08-23 20:35:00
2601,Great Lakes Gas Transmission,106200,223381,267848,1968-08-25 17:23:00
2602,Great Lakes Gas Transmission,106200,267848,268856.4998,1968-09-14 14:15:00
2602,Great Lakes Gas Transmission,106200,268856.4998,273623.7996,1968-09-14 14:15:00
2602,Great Lakes Gas Transmission,106200,273623.7996,273771.1192,1968-09-14 14:15:00
